|Nom|Format|Description|Prix/QTE|Prix
263|Dry action, déodorant anti-transpirant|Le stick de 50ml|[Origine : FRANCE, Ne pas appliquer sur la peau irritée ou endommagée., Cyclomethicone, aluminum zirconium tetrachlorohydrex gly, ppg-14 butyl ether, stearyl alcohol, hydrogenated castor oil, talc, peg-8 distearate, parfum, BHT, citronellol, coumarin, limonene, linalool.]|"
96,60€ / L"|"
4,83 €"
264|Eau de toilette pour homme|le vaporisateur de 100ml|[Origine : FRANCE, Alcohol denat (S.D. alcohol 39-C), aqua (water), parfum (fragrance), citral, coumarin, butylphenyl methylpropional, limonene, linalool., 36 mois après ouverture.]|"
93,60€ / L"|"
9,36 €"
265|Eau de toilette homme, coton chic|La bouteille de 100ml|[Origine : FRANCE, Un parfum frais et distingué pour des hommes modernes et élégants en toutes circonstances. La fraîcheur aromatique de la menthe, révèle un sillage chic et masculin de musc et de patchouli., Inflammable jusqu'à séchage. Tenir à l'écart de la flamme ou de la chaleur. Eviter de vaporiser vers les yeux., 24 mois après ouverture.]|"
189,00€ / L"|"
18,90 €"
266|Eau de toilette pour Monsieur|Vapo-spray de 75ml|[Origine : FRANCE, Alcohol denat, aqua/water/eau, parfum/fragrance, ethylhexyl methoxycinnamate, limonene, linalool, benzophenone-3, citronellol, eugenol, coumarin, cinnamyl alcohol, benzyl benzoate, citral, cinnamal, geraniol, propylene glycol, bht, fd&c red n°4 (Cl 14700), fd&c yellow n°5 (Cl 19140), ext d&c violet n°2 (Cl 60730)., 36 mois après ouverture.]|"
333,73€ / L"|"
25,03 €"
271|Gel douche, Peace|Le flacon de 250ml|[Origine : ALLEMAGNE]|"
12,88€ / L"|"
3,22 €"
272|Gel douche Provocation|Le flacon de 250ml|[Origine : ALLEMAGNE, Gel Douche Revitalisant Axe Provocation : un parfum si envoûtant que même les anges s'y brûleront les ailes., Aqua, sodium laureth sulfate, sodium chloride, parfum, cocamide mea, ppg-12, citric acid, sodium benzoate, alpha-isomethyl ionone, coumarin, limonene, linalool, Cl17200, Cl42090., 12 mois après ouverture.]|"
13,40€ / L"|"
3,35 €"
273|Gel douche, Hydratant original|Le flacon de 250ml|[Origine : FRANCE, Pour les hommes qui veulent une sensation de peau hydratée après la douche. Sa formule douce à l'Aloe Vera aide à lutter contre le dessèchement de la peau. pH neutre pour la peau. Tolérance cutanée. Testée sous contrôle dermatologique., Corps, visage & cheveux., 12 mois après ouverture.]|"
10,92€ / L"|"
2,73 €"
274|Progress Homme Gel de repigmentation naturelle|La boîte|[Origine : FRANCE, Spécialement conçu pour les hommes, Progress Homme est le premier gel de repigmentation  de vos cheveux blancs, pour un résultat progressif et naturel.Estompe progressivement vos cheveux blancs. Résultat progressif. Reconstitue une couleur naturelle., L'étui contient 4 applications. Utilisation facile : 2 fois par semaine, puis 1 fois toutes les 2 à 3 semaines. Un gel d'application facile qui ne coule pas. L'application Progress Homme est déconseillée dans les cas suivants : cheveux très clairs outrès blonds, roux, très foncés ou noirs. Chevelure majoritairement blanche ou comportant des parties entièrement blanches. Cheveux préalablement colorés ou décolorés. Le résultat peut être inesthétique avec des reflets roux ou trop jaunes. L'application de Progress Homme ne doit pas être suivie d'une coloration. Les colorants capillaires peuvent provoquer des réactions allergiques sévères. Lire et suivre les instructions. Ce produit n'est pas destiné à être utilisé sur les personnes de moins deseize ans. Les tatouages temporaires noirs à base de henné peuvent augmenter le risque d'allergie. Ne vous colorez pas les cheveux si : vous présentez une éruption cutanée sur le visage ou si votre cuir chevelu est sensible, irrité ou abîmé, vous avez déjà fait une réaction après avoir coloré vos cheveux, vous avez fait par le passé une réaction à un tatouage temporaire noir à base de henné. Il est obligatoire de faire un test d'allergie cutanée impérativement 48 heures avant chaque utilisationde ce produit (se conformer à la notice). Penser à acheter votre produit à l'avance pour faire le test d'allergie cutanée 48 heures avant. Éviter le contact du produit avec les yeux, ne pas employer pour la coloration des cils et des sourcils. Rince, Gel colorant : aqua/water, alcohol denat, triethanolamine, decyl glucoside, xanthan gum, phenoxyethanol, dihydroxyindole, ethylparaben, propylparaben, isobutylparaben, tartaric acid, methylparaben, butylparaben. (FIL C7765/3). Shampooing de finition: aqua/water, mea-laureth sulfate, alcohol denat, coco-betaine, cocamide mipa, sodium chloride, hexylene glycol, sodium hydroxide, dmdm hydantoin, triclosan, limonene, benzyl salicylate, linalool, geraniol, caramel, disodium ricinoleamido mea-sulfosuccinate, edta, methylparaben, citronellol, butylphenyl methylpropional, hexyl cinnamal, amyl cinnamal, parfum/fragrance. (FIL C7766/3)., Ne jamais conserver un tube entamé.]|"
189,81€ / L"|"
30,37 €"
275|Shampooing Réveil Express|Le flacon de 250ml|[Origine : FRANCE]|"
15,44€ / L"|"
3,86 €"
276|Poudre densifiante professionnelle, s'adapte à tous les cheveux noirs à bruns|La boîte de 14g|[Origine : FRANCE]|"
1610,71€ / Kg"|"
22,55 €"
277|Coloration Crème Châtain N°40|La boîte de 85ml|[Origine : FRANCE, Un gel colorant haute performance spécialement conçu pour les hommes. Un résultat naturel garanti en seulement 5 min et une application aussi facile qu'un shampooing., 5 min suffisent quel que soit le résultat souhaité. Pour obtenir un résultat naturel, choisir la nuance la plus proche de votre couleur naturelle. Si vous avez un fort pourcentage de cheveux blancs, optez pour une nuance un peu plus claire. Les colorants capillaires peuvent provoquer des réactions allergiques sévères. Lire et suivre les instructions. Ce produit n'est pas destiné à être utilisé sur les personnes de moins de seize ans. Les tatouages temporaires noirs à base de henné peuvent augmenter le risque d'allergie. Ne vous colorez pas les cheveux si : vous présentez une éruption cutanée sur le visage ou si votre cuir chevelu est sensible, irrité ou abîmé, vous avez déjà fait une réaction après avoir coloré vos cheveux, vous avez fait par le passé une réaction à un tatouage temporaire noir à base de henné. Pour réduire ces risques faire un test d'alerte allergie 48 heures avant chaque utilisation. Porter des gants appropriés mono usage présents dans l'étui. Eviter le contact avec les yeux. En cas de contact, rincer les yeux immédiatement et abondamment à l'eau claire pendant 10 min. Si vous portez des lentilles, retirez les avant de rincer les yeux abondamment à l'eau. Consulter un spécialiste. Ne pas utiliser pour teindre lescils et les sourcils ou pour un autre usage que la coloration des cheveux. Bien rincer les cheveux après l'application du mélange. Ne pas conserver le mélange pour une application ultérieure. Ne pas laisser à la portée des enfants. Se conformer à la, Crème colorante : aqua/water/eau, deceth-3, oleic acid, ethanolamine, glycerin, resorcinol, sodium metabisulfite, p-phenylenediamine, carbomer, sodium laureth sulfate, parfum (fragrance), polyquaternium-22, ascorbic acid, limonène, pentasodium pentetate, m-aminophenol, phenyl methyl pyrazolone, n,n-bis(2-hydroxyethyl)-p-phenylenediamine sulfate, quaternium-80, propylène glycol, 2,4-diaminophenoxyethanol sulfate, linalool, citronellol, (f01). Révélateur : aqua/water/eau, hydrogen peroxide, cetearyl alcohol, trideceth-2 carboxamide mea, ceteareth-33, glycerin, phosphoric acid, pentasodium pentetate, sodium stannate, tetrasodium pyrophosphate, (f12). Shampooing : aqua/water/eau, sodium laureth sulfate, peg-4 rapeseedamide, cocamidopropyl betaine, peg-60 hydrogenated castor oil, c11-15 pareth-5, parfum (fragrance), linoleamidopropyl pg-dimonium chloride phosphate, trimethylsilylamodimethicone, c11-15 pareth-9, polyquaternium-10, limonène, peg-15 cocopolyamine, benzophénone-4, citrus aurantium dulcis (orange) peel oil, propylène glycol, peg-40 hydrogenated castor oil, glucose, trideceth-9, linalool, yellow 5 (cl19140), methylchloroisothiazolinone, panax ginseng root extract, green 5 (cl61570), methylisothiazolinone, citral, citronellol, citric acid, sodium chloride, (f01).]|"
12,35€ / Pce"|"
12,35 €"
278|Petrole hahn creme colorante n¢50 chatain clair|La boîte de 85ml|[Origine : FRANCE, La coloration Haute Performance Pétrole Hahn a été spécifiquement conçue pour les hommes qui souhaitent retrouver leur couleur naturelle, sans reflets artificiels. Sa nouvelle formule estompe durablement les cheveux blancs et garantit un résultat naturel. Aussi simple d'application qu'un shampooing, la coloration Pétrole Hahn vous procure en 5 minutes un résultat durable, visible pendant 6 semaines. Sans ammoniaque, la coloration Pétrole Hahn respecte vos cheveux. Le nouveau shampooing post coloration, enrichi en Citrus et en Ginseng. Assure à vos cheveux force et vitalité.]|"
12,35€ / Pce"|"
12,35 €"
279|Hydra Energetic Anti-Fatigue|La boîte de 50ml|[Origine : FRANCE, Action 24h : signe de fatigue réduits, effet bonne mine. Hydratation et texture pour homme : peau hydratée pour 24h, peau plus douce et plus souple, non gras, non collant, pénètre rapidement.Vitamine C + magnésium : combat les 5 signes de fatigue masculins : apparition des cernes, traits tirés, teint terne, perte de tonus et tiraillements., Le matin et/ou le soir sur une peau nettoyée. Utiliser sur tout le visage, en massant énergiquement pour stimuler votre peau. Appliqué après le rasage, calme le feu du rasoir., Aqua/water, glycerin, alcohol denat., isohexadecane, hydrogenated polyisobutene, ammonium polyacryldimethyltauramide/ammonium polyacryloyldimethyl taurate, mentha piperita extract/peppermint leaf extract, peg/ppg-18/18 dimethicone, hdi/trimethylol hexyllactone crosspolymer, dimethicone, cetearyl ethylhexanoate, caffeine, sodium citrate, sodium hydroxide, magnesium pca, ascorbyl glucoside, isopropyl myristate, caprylyl glycol, menthol, polymethyl methacrylate, Cl19140/yellow 5, Cl42090/blue 1, linalool, limonene, parfum/fragrance. (B42806/1)., 12 mois après ouverture.]|"
205,00€ / L"|"
10,25 €"
